date,Open,High,Low,Close
2022-07-12 01:00:00,1728.798,1729.458,1725.468,1729.258
2022-07-12 02:00:00,1729.239,1735.828,1728.014,1734.334
2022-07-12 03:00:00,1734.345,1737.924,1733.004,1734.194
2022-07-12 04:00:00,1734.194,1739.024,1732.414,1734.574
2022-07-12 05:00:00,1734.564,1736.744,1733.538,1734.944
2022-07-12 06:00:00,1734.918,1735.928,1731.408,1734.144
2022-07-12 07:00:00,1734.234,1739.308,1731.988,1735.405
2022-07-12 08:00:00,1735.405,1736.758,1730.718,1732.018
2022-07-12 09:00:00,1732.018,1733.888,1725.998,1729.544
2022-07-12 10:00:00,1729.554,1731.664,1727.564,1730.128
2022-07-12 11:00:00,1730.105,1733.688,1728.857,1731.834
2022-07-12 12:00:00,1731.824,1732.428,1729.354,1729.394
2022-07-12 13:00:00,1729.464,1729.758,1725.308,1727.078
2022-07-12 14:00:00,1727.088,1729.224,1724.848,1728.608
2022-07-12 15:00:00,1728.628,1728.964,1724.458,1725.644
2022-07-12 16:00:00,1725.638,1726.328,1724.794,1725.928
2022-07-12 18:00:00,1725.628,1726.178,1724.928,1725.568
2022-07-12 19:00:00,1725.548,1726.148,1724.878,1725.218
2022-07-12 20:00:00,1725.218,1725.368,1722.668,1724.808
2022-07-12 21:00:00,1724.778,1728.618,1723.958,1727.324
2022-07-12 22:00:00,1727.344,1728.654,1725.734,1728.048
2022-07-12 23:00:00,1728.038,1728.648,1725.984,1727.078
2022-07-13 00:00:00,1727.078,1727.278,1724.624,1725.624
2022-07-13 01:00:00,1725.644,1726.748,1724.098,1725.498
2022-07-13 02:00:00,1725.488,1727.124,1722.348,1725.224
2022-07-13 03:00:00,1725.284,1728.508,1723.898,1726.704
2022-07-13 04:00:00,1726.737,1727.828,1725.194,1727.78
2022-07-13 05:00:00,1727.78,1730.207,1726.599,1727.988
2022-07-13 06:00:00,1727.984,1729.828,1726.934,1729.794
2022-07-13 07:00:00,1729.794,1731.758,1728.381,1729.258
2022-07-13 08:00:00,1729.458,1730.177,1706.948,1712.578
2022-07-13 09:00:00,1712.595,1728.928,1710.488,1723.118
2022-07-13 10:00:00,1723.148,1743.214,1720.527,1742.184
2022-07-13 11:00:00,1742.224,1745.284,1736.374,1737.334
2022-07-13 12:00:00,1737.324,1738.888,1735.714,1737.824
2022-07-13 13:00:00,1737.854,1739.954,1736.204,1739.664
